Date,Alemania,Sudáfrica,España
2021-04-11 00:00:00+00:00,2998268,1558458,3347512
2021-04-12 00:00:00+00:00,3011513,1559113,3370256
2021-04-13 00:00:00+00:00,3022323,1559960,3376548
2021-04-14 00:00:00+00:00,3044016,1561559,3387022
2021-04-15 00:00:00+00:00,3073442,1562931,3396685
2021-04-16 00:00:00+00:00,3099273,1564355,3407283
2021-04-17 00:00:00+00:00,3123077,1565680,3407283
2021-04-18 00:00:00+00:00,3142262,1566769,3407283
2021-04-19 00:00:00+00:00,3153699,1567513,3428354
2021-04-20 00:00:00+00:00,3163308,1568366,3428354
2021-04-21 00:00:00+00:00,3188192,1569935,3446072
2021-04-22 00:00:00+00:00,3217710,1571348,3456886
2021-04-23 00:00:00+00:00,3245253,1572985,3468617
2021-04-24 00:00:00+00:00,3268645,1574370,3468617
2021-04-25 00:00:00+00:00,3287418,1575471,3468617
2021-04-26 00:00:00+00:00,3299325,1576320,3488469
2021-04-27 00:00:00+00:00,3310301,1577200,3496134
2021-04-28 00:00:00+00:00,3332532,1578450,3504799
2021-04-29 00:00:00+00:00,3357268,1579536,3514942
2021-04-30 00:00:00+00:00,3381597,1581210,3524077
2021-05-01 00:00:00+00:00,3400532,1582842,3524077
2021-05-02 00:00:00+00:00,3416822,1584064,3524077
2021-05-03 00:00:00+00:00,3425982,1584961,3540430
2021-05-04 00:00:00+00:00,3433516,1586148,3544945
2021-05-05 00:00:00+00:00,3451550,1588221,3551262
2021-05-06 00:00:00+00:00,3473503,1590370,3559222
2021-05-07 00:00:00+00:00,3491988,1592626,3567408
2021-05-08 00:00:00+00:00,3507673,1592626,3567408
2021-05-09 00:00:00+00:00,3520329,1596595,3567408
2021-05-10 00:00:00+00:00,3527251,1597724,3581392
2021-05-11 00:00:00+00:00,3533376,1599272,3586333
2021-05-12 00:00:00+00:00,3548285,1602031,3592751
2021-05-13 00:00:00+00:00,3565704,1605252,3598452
2021-05-14 00:00:00+00:00,3577040,1608393,3604799
2021-05-15 00:00:00+00:00,3584934,1611143,3604799
2021-05-16 00:00:00+00:00,3593434,1613728,3604799
2021-05-17 00:00:00+00:00,3598846,1615485,3615860
2021-05-18 00:00:00+00:00,3603055,1617840,3619848
2021-05-19 00:00:00+00:00,3614095,1621362,3625928
2021-05-20 00:00:00+00:00,3626393,1625003,3631661
2021-05-21 00:00:00+00:00,3635162,1628335,3636453
2021-05-22 00:00:00+00:00,3642244,1632571,3636453
